"","Season","Player","DraftPos","DraftYear","PER","WS","VORP","BPM"
"1","2020-21","Deandre Ayton",1,2018,10.61,2.986,1,3.07
"2","2021-22","Deandre Ayton",1,2018,15.243,4.362,1.097,4.417
"3","2022-23","Deandre Ayton",1,2018,15.498,4.408,1.099,4.344
"4","2023-24","Deandre Ayton",1,2018,15.438,4.359,1.1,4.37
"5","2020-21","Marvin Bagley III",2,2018,9.349,1.972,0.4,2.004
"6","2021-22","Marvin Bagley III",2,2018,14.058,2.782,0.4,2.793
"7","2022-23","Marvin Bagley III",2,2018,14.106,2.777,0.4,2.801
"8","2023-24","Marvin Bagley III",2,2018,14.127,2.794,0.4,2.786
"9","2020-21","Luka Dončić",3,2018,9.589,2.495,1.996,2.525
"10","2021-22","Luka Dončić",3,2018,14.594,3.671,2.693,3.704
"11","2022-23","Luka Dončić",3,2018,14.653,3.679,2.699,3.7
"12","2023-24","Luka Dončić",3,2018,14.61,3.691,2.695,3.686
"13","2020-21","Jaren Jackson Jr.",4,2018,8.669,1.943,0.7,2.025
"14","2021-22","Jaren Jackson Jr.",4,2018,12.453,2.617,0.7,2.654
"15","2022-23","Jaren Jackson Jr.",4,2018,12.496,2.613,0.7,2.63
"16","2023-24","Jaren Jackson Jr.",4,2018,12.52,2.622,0.7,2.619
"17","2020-21","Trae Young",5,2018,8.747,2.009,0.9,1.989
"18","2021-22","Trae Young",5,2018,12.746,2.661,0.9,2.644
"19","2022-23","Trae Young",5,2018,12.781,2.661,0.9,2.665
"20","2023-24","Trae Young",5,2018,12.863,2.649,0.9,2.666
"21","2020-21","Mo Bamba",6,2018,7.682,1,0.1,1
"22","2021-22","Mo Bamba",6,2018,11.208,1.359,0.1,1.349
"23","2022-23","Mo Bamba",6,2018,11.186,1.347,0.1,1.353
"24","2023-24","Mo Bamba",6,2018,11.289,1.347,0.1,1.356
"25","2020-21","Wendell Carter Jr.",7,2018,8.038,1,0.1,1
"26","2021-22","Wendell Carter Jr.",7,2018,11.63,1.472,0.1,1.447
"27","2022-23","Wendell Carter Jr.",7,2018,11.638,1.451,0.1,1.458
"28","2023-24","Wendell Carter Jr.",7,2018,11.651,1.461,0.1,1.456
"29","2020-21","Collin Sexton",8,2018,6.668,-0.6,-1.8,-0.6
"30","2021-22","Collin Sexton",8,2018,9.411,-0.6,-1.8,-0.6
"31","2022-23","Collin Sexton",8,2018,9.392,-0.6,-1.8,-0.6
"32","2023-24","Collin Sexton",8,2018,9.378,-0.6,-1.8,-0.6
"33","2020-21","Kevin Knox",9,2018,4.487,-1.3,-2,-1.3
"34","2021-22","Kevin Knox",9,2018,6.638,-1.3,-2,-1.3
"35","2022-23","Kevin Knox",9,2018,6.551,-1.3,-2,-1.3
"36","2023-24","Kevin Knox",9,2018,6.576,-1.3,-2,-1.3
"37","2020-21","Mikal Bridges",10,2018,5.469,1.478,0.3,1.492
"38","2021-22","Mikal Bridges",10,2018,8.087,2.188,0.3,2.174
"39","2022-23","Mikal Bridges",10,2018,8.084,2.192,0.3,2.196
"40","2023-24","Mikal Bridges",10,2018,8.078,2.196,0.3,2.177
"41","2020-21","Shai Gilgeous-Alexander",11,2018,6.897,2.002,0.8,1.995
"42","2021-22","Shai Gilgeous-Alexander",11,2018,10.184,2.66,0.8,2.641
"43","2022-23","Shai Gilgeous-Alexander",11,2018,10.171,2.646,0.8,2.663
"44","2023-24","Shai Gilgeous-Alexander",11,2018,10.151,2.667,0.8,2.648
"45","2020-21","Miles Bridges",12,2018,7.229,1.543,0.5,1.489
"46","2021-22","Miles Bridges",12,2018,10.179,2.227,0.5,2.231
"47","2022-23","Miles Bridges",12,2018,10.203,2.211,0.5,2.221
"48","2023-24","Miles Bridges",12,2018,10.123,2.218,0.5,2.22
"49","2020-21","Troy Brown Jr.",15,2018,6.077,0.6,-0.1,0.6
"50","2021-22","Troy Brown Jr.",15,2018,8.521,0.6,-0.1,0.6
"51","2022-23","Troy Brown Jr.",15,2018,8.574,0.6,-0.1,0.6
"52","2023-24","Troy Brown Jr.",15,2018,8.545,0.6,-0.1,0.6
"53","2020-21","Donte DiVincenzo",17,2018,5.033,0.6,0,0.6
"54","2021-22","Donte DiVincenzo",17,2018,7.026,0.6,0,0.6
"55","2022-23","Donte DiVincenzo",17,2018,7.092,0.6,0,0.6
"56","2023-24","Donte DiVincenzo",17,2018,7.07,0.6,0,0.6
"57","2020-21","Lonnie Walker IV",18,2018,5.406,0,0,0
"58","2021-22","Lonnie Walker IV",18,2018,8.222,0,0,0
"59","2022-23","Lonnie Walker IV",18,2018,8.216,0,0,0
"60","2023-24","Lonnie Walker IV",18,2018,8.193,0,0,0
"61","2020-21","Kevin Huerter",19,2018,5.384,1,-0.2,1
"62","2021-22","Kevin Huerter",19,2018,7.711,1.249,-0.2,1.242
"63","2022-23","Kevin Huerter",19,2018,7.758,1.248,-0.2,1.249
"64","2023-24","Kevin Huerter",19,2018,7.74,1.252,-0.2,1.248
"65","2020-21","Josh Okogie",20,2018,4.961,1,-0.5,1
"66","2021-22","Josh Okogie",20,2018,7.134,1.096,-0.5,1.098
"67","2022-23","Josh Okogie",20,2018,7.159,1.097,-0.5,1.099
"68","2023-24","Josh Okogie",20,2018,7.162,1.099,-0.5,1.1
"69","2020-21","Grayson Allen",21,2018,3.975,0,-0.5,0
"70","2021-22","Grayson Allen",21,2018,5.748,0,-0.5,0
"71","2022-23","Grayson Allen",21,2018,5.775,0,-0.5,0
"72","2023-24","Grayson Allen",21,2018,5.788,0,-0.5,0
