"","Season","Player","DraftPos","Tm","YrsPlayed","G","MP","TSPerc","ASTPerc","DraftYear","PER","WS","VORP","BPM"
"1","2019-20","Ja Morant",2,"MEM",1,67,2074,0.556,35.2,2019,17.4,3.8,1.2,0.3
"2","2019-20","RJ Barrett",3,"NYK",1,56,1704,0.479,12.8,2019,10.7,-0.5,-1,-4.3
"3","2019-20","De'Andre Hunter",4,"ATL",1,63,2018,0.521,8,2019,8.6,0.1,-1.4,-4.7
"4","2019-20","Darius Garland",5,"CLE",1,59,1824,0.498,18.5,2019,8.5,-1.3,-1.7,-5.5
"5","2019-20","Jarrett Culver",6,"MIN",1,63,1506,0.467,10.8,2019,9.6,-0.1,-0.8,-4
"6","2019-20","Coby White",7,"CHI",1,65,1674,0.506,16.5,2019,11.9,0.9,-0.4,-2.9
"7","2019-20","Jaxson Hayes",8,"NOP",1,64,1080,0.689,7.2,2019,17.6,3.9,0.5,-0.3
"8","2019-20","Rui Hachimura",9,"WAS",1,48,1444,0.535,8.8,2019,13.5,1.8,-0.4,-3.2
"9","2019-20","Cam Reddish",10,"ATL",1,58,1551,0.5,8,2019,9,-0.4,-0.9,-4.2
"10","2019-20","Cameron Johnson",11,"PHO",1,57,1255,0.586,7.7,2019,12.9,2.7,0.7,0.3
"11","2019-20","P.J. Washington",12,"CHO",1,58,1759,0.547,11.3,2019,12.4,2,0.2,-1.6
"12","2019-20","Tyler Herro",13,"MIA",1,55,1508,0.55,12.7,2019,12.5,1.6,0.1,-1.6
"13","2019-20","Romeo Langford",14,"BOS",1,32,370,0.434,4.5,2019,5.4,0.2,-0.3,-4.9
"14","2019-20","Sekou Doumbouya",15,"DET",1,38,754,0.474,3.6,2019,6.2,-0.3,-0.9,-6.7
"15","2019-20","Nickeil Alexander-Walker",17,"NOP",1,47,591,0.473,21.1,2019,8.9,-0.2,-0.4,-4.6
"16","2019-20","Goga Bitadze",18,"IND",1,54,471,0.523,6.7,2019,12.1,0.7,0,-2.3
"17","2019-20","Matisse Thybulle",20,"PHI",1,65,1287,0.539,8,2019,10,2.3,0.8,0.3
"18","2019-20","Brandon Clarke",21,"MEM",1,58,1300,0.663,9.5,2019,20.9,5,1.7,3.1
"19","2019-20","Grant Williams",22,"BOS",1,69,1043,0.505,8.5,2019,7.9,1.6,-0.2,-2.7
"20","2019-20","Darius Bazley",23,"OKC",1,61,1130,0.497,5.1,2019,9.6,1,0.1,-1.6
"21","2019-20","Ty Jerome",24,"PHO",1,31,328,0.425,18.2,2019,7.9,0,-0.1,-3.7
"22","2019-20","Nassir Little",25,"POR",1,48,573,0.505,5,2019,9.6,0.6,-0.2,-3.5
"23","2019-20","Jordan Poole",28,"GSW",1,57,1274,0.454,15.8,2019,7.2,-1.2,-1.5,-6.6
"24","2019-20","Keldon Johnson",29,"SAS",1,17,301,0.711,7.2,2019,19.1,1.1,0.3,1.5
"25","2019-20","Kevin Porter Jr.",30,"CLE",1,50,1162,0.535,13.9,2019,10.8,0.3,-0.5,-3.8
"26","2019-20","Nic Claxton",31,"BRK",1,15,187,0.577,12.4,2019,14.8,0.5,0.1,-0.7
"27","2019-20","KZ Okpala",32,"MIA",1,5,26,0.595,5.5,2019,13.7,0.1,0,2.4
"28","2019-20","Carsen Edwards",33,"BOS",1,37,351,0.444,9.3,2019,6.9,0.1,-0.2,-4.6
"29","2019-20","Bruno Fernando",34,"ATL",1,56,713,0.542,9.9,2019,11.9,0.8,-0.4,-4.1
"30","2019-20","Cody Martin",36,"CHO",1,48,903,0.505,15.7,2019,10.5,1,0,-2.1
"31","2019-20","Daniel Gafford",38,"CHI",1,43,609,0.686,5.2,2019,16.2,1.9,0.1,-1.3
"32","2019-20","Eric Paschall",41,"GSW",1,60,1654,0.571,12.7,2019,14.5,2.1,-0.3,-2.7
"33","2019-20","Jaylen Nowell",43,"MIN",1,15,151,0.471,17.8,2019,10.5,0.2,-0.1,-3.8
"34","2019-20","Bol Bol",44,"DEN",1,7,87,0.617,9.8,2019,14.4,0.1,0,-3
"35","2019-20","Isaiah Roby",45,"OKC",1,3,11,0,0,2019,-7.7,0,0,-15.4
"36","2019-20","Talen Horton-Tucker",46,"LAL",1,6,81,0.535,10.5,2019,12.3,0.1,0,-2.1
"37","2019-20","Ignas Brazdeikis",47,"NYK",1,9,53,0.351,10.6,2019,3.2,-0.1,-0.1,-9
"38","2019-20","Terance Mann",48,"LAC",1,41,362,0.545,19.3,2019,10.6,0.8,0,-1.5
"39","2019-20","Quinndary Weatherspoon",49,"SAS",1,11,78,0.336,17.5,2019,3.2,-0.1,-0.1,-7.4
"40","2019-20","Tremont Waters",51,"BOS",1,11,119,0.381,18.3,2019,4.3,-0.3,-0.2,-7.5
"41","2019-20","Jalen McDaniels",52,"CHO",1,16,293,0.574,6.8,2019,10.7,0.5,-0.1,-3.3
"42","2019-20","Kyle Guy",55,"SAC",1,3,10,0.4,15.6,2019,6.6,0,0,-12.3
"43","2019-20","Miye Oni",58,"UTA",1,10,109,0.512,5.1,2019,9.7,0.1,-0.1,-4.3
"44","2018-19","Deandre Ayton",1,"PHO",1,71,2183,0.608,9.6,2018,20.5,5.8,1.2,0.2
"45","2019-20","Deandre Ayton",1,"PHO",2,38,1236,0.568,9.7,2018,20,3.1,0.7,0.4
"46","2018-19","Marvin Bagley III",2,"SAC",1,62,1567,0.562,5.9,2018,18.9,3.6,0.4,-1
"47","2019-20","Marvin Bagley III",2,"SAC",2,13,334,0.512,4.9,2018,15.6,0.4,-0.1,-3.5
"48","2018-19","Luka Dončić",3,"DAL",1,72,2318,0.545,31.6,2018,19.6,4.9,3.4,3.9
"49","2019-20","Luka Dončić",3,"DAL",2,61,2047,0.585,45.7,2018,27.6,8.8,5.4,8.4
"50","2018-19","Jaren Jackson Jr.",4,"MEM",1,58,1515,0.591,7.2,2018,16.4,3.3,0.7,-0.3
"51","2019-20","Jaren Jackson Jr.",4,"MEM",2,57,1622,0.593,7.2,2018,16.3,3.5,1,0.4
"52","2018-19","Trae Young",5,"ATL",1,81,2503,0.539,40.5,2018,17,3.3,0.9,-0.6
"53","2019-20","Trae Young",5,"ATL",2,60,2120,0.595,45.6,2018,23.9,5.9,3.1,3.9
"54","2018-19","Mo Bamba",6,"ORL",1,47,766,0.539,7.4,2018,14.9,1.7,0.1,-1.4
"55","2019-20","Mo Bamba",6,"ORL",2,62,878,0.542,7.2,2018,17.5,2.5,0.5,0.4
"56","2018-19","Wendell Carter Jr.",7,"CHI",1,44,1110,0.541,10.7,2018,15.2,1.9,0.1,-1.6
"57","2019-20","Wendell Carter Jr.",7,"CHI",2,43,1256,0.59,6,2018,15.5,3.3,-0.1,-2.4
"58","2018-19","Collin Sexton",8,"CLE",1,82,2605,0.52,15.3,2018,12,-0.6,-1.8,-4.7
"59","2019-20","Collin Sexton",8,"CLE",2,65,2143,0.56,15.1,2018,16.3,2.5,0.1,-1.8
"60","2018-19","Kevin Knox",9,"NYK",1,75,2158,0.475,6,2018,8.7,-1.3,-2,-5.7
"61","2019-20","Kevin Knox",9,"NYK",2,65,1166,0.47,7.4,2018,8.3,0.2,-0.7,-4.2
