"","Season","Player","DraftPos","Tm","YrsPlayed","G","MP","TSPerc","ASTPerc","DraftYear","PER","WS","VORP","BPM"
"1","2018-19","Deandre Ayton",1,"PHO",1,71,2183,0.608,9.6,2018,20.5,5.8,1.2,0.2
"2","2018-19","Marvin Bagley III",2,"SAC",1,62,1567,0.562,5.9,2018,18.9,3.6,0.4,-1
"3","2018-19","Luka Dončić",3,"DAL",1,72,2318,0.545,31.6,2018,19.6,4.9,3.4,3.9
"4","2018-19","Jaren Jackson Jr.",4,"MEM",1,58,1515,0.591,7.2,2018,16.4,3.3,0.7,-0.3
"5","2018-19","Trae Young",5,"ATL",1,81,2503,0.539,40.5,2018,17,3.3,0.9,-0.6
"6","2018-19","Mo Bamba",6,"ORL",1,47,766,0.539,7.4,2018,14.9,1.7,0.1,-1.4
"7","2018-19","Wendell Carter Jr.",7,"CHI",1,44,1110,0.541,10.7,2018,15.2,1.9,0.1,-1.6
"8","2018-19","Collin Sexton",8,"CLE",1,82,2605,0.52,15.3,2018,12,-0.6,-1.8,-4.7
"9","2018-19","Kevin Knox",9,"NYK",1,75,2158,0.475,6,2018,8.7,-1.3,-2,-5.7
"10","2018-19","Mikal Bridges",10,"PHO",1,82,2417,0.556,9.8,2018,10.8,2.9,0.3,-1.6
"11","2018-19","Shai Gilgeous-Alexander",11,"LAC",1,82,2174,0.554,17.8,2018,13.4,3.3,0.8,-0.5
"12","2018-19","Miles Bridges",12,"CHO",1,80,1696,0.548,8.1,2018,13.1,2.9,0.5,-0.8
"13","2018-19","Troy Brown Jr.",15,"WAS",1,52,730,0.487,14.9,2018,11.1,0.6,-0.1,-2.7
"14","2018-19","Donte DiVincenzo",17,"MIL",1,27,411,0.507,9.7,2018,9.1,0.6,0,-2.2
"15","2018-19","Lonnie Walker IV",18,"SAS",1,17,118,0.446,10.3,2018,10.8,0,0,-2.4
"16","2018-19","Kevin Huerter",19,"ATL",1,75,2048,0.533,14.5,2018,10.1,1.5,-0.2,-2.4
"17","2018-19","Josh Okogie",20,"MIN",1,74,1757,0.492,6.9,2018,9.4,1.2,-0.5,-3.1
"18","2018-19","Grayson Allen",21,"UTA",1,38,416,0.516,8.9,2018,7.5,0,-0.5,-6.3
"19","2018-19","Chandler Hutchison",22,"CHI",1,44,895,0.507,5.3,2018,8.8,0.6,-0.4,-3.9
"20","2018-19","Aaron Holiday",23,"IND",1,50,646,0.518,19.3,2018,11.9,0.9,0.1,-1.6
"21","2018-19","Anfernee Simons",24,"POR",1,20,141,0.535,13.7,2018,11.1,0.1,-0.1,-5.3
"22","2018-19","Moritz Wagner",25,"LAL",1,43,446,0.533,7.4,2018,10.1,0.2,-0.3,-4.3
"23","2018-19","Landry Shamet",26,"TOT",1,79,1802,0.604,9,2018,11,3.6,0.2,-1.6
"24","2018-19","Landry Shamet",26,"PHI",1,54,1108,0.606,7.4,2018,10.7,2.2,0,-1.9
"25","2018-19","Landry Shamet",26,"LAC",1,25,694,0.601,11.5,2018,11.3,1.4,0.1,-1.2
"26","2018-19","Robert Williams",27,"BOS",1,32,283,0.703,3.3,2018,18.8,1.2,0.3,1.8
"27","2018-19","Jevon Carter",32,"MEM",1,39,577,0.432,17.4,2018,7.8,0,-0.3,-4
"28","2018-19","Jalen Brunson",33,"DAL",1,73,1591,0.549,22.6,2018,12.8,2.6,0.1,-1.7
"29","2018-19","Devonte' Graham",34,"CHO",1,46,676,0.459,24.8,2018,10.3,0.5,-0.3,-4
"30","2018-19","Mitchell Robinson",36,"NYK",1,66,1360,0.692,4.2,2018,22,6.1,1.6,2.5
"31","2018-19","Gary Trent Jr.",37,"POR",1,15,111,0.377,6.2,2018,3.6,-0.2,-0.2,-10.8
"32","2018-19","Isaac Bonga",39,"LAL",1,22,120,0.24,14.9,2018,6,-0.1,-0.1,-4.8
"33","2018-19","Jarred Vanderbilt",41,"DEN",1,17,69,0.513,5.9,2018,12.4,0.1,0,-4.2
"34","2018-19","Bruce Brown",42,"DET",1,74,1449,0.469,8.8,2018,6.9,1.5,-0.5,-3.3
"35","2018-19","Hamidou Diallo",45,"OKC",1,51,526,0.497,4.4,2018,10.1,0.8,-0.3,-4.2
"36","2018-19","De'Anthony Melton",46,"PHO",1,50,984,0.466,22.3,2018,9.9,0,-0.2,-2.7
"37","2018-19","Svi Mykhailiuk",47,"TOT",1,42,440,0.447,10.9,2018,6,-0.1,-0.3,-5
"38","2018-19","Svi Mykhailiuk",47,"LAL",1,39,420,0.451,10.1,2018,5.8,-0.1,-0.3,-5.2
"39","2018-19","Svi Mykhailiuk",47,"DET",1,3,20,0.375,28.5,2018,9.8,0,0,-0.5
"40","2018-19","Keita Bates-Diop",48,"MIN",1,30,503,0.489,4.6,2018,9.6,0.3,-0.2,-3.4
"41","2018-19","Chimezie Metu",49,"SAS",1,29,145,0.389,12,2018,6.4,-0.3,-0.2,-8.7
"42","2018-19","Alize Johnson",50,"IND",1,14,64,0.333,2,2018,6.3,0,-0.1,-7.7
"43","2018-19","Shake Milton",54,"PHI",1,20,268,0.483,9.2,2018,9.3,0.3,-0.1,-3.2
"44","2017-18","Markelle Fultz",1,"PHI",1,14,253,0.416,31.3,2017,12.4,0.2,0,-2.6
"45","2018-19","Markelle Fultz",1,"PHI",2,19,427,0.452,19.5,2017,10.5,0.3,-0.1,-3.1
"46","2017-18","Lonzo Ball",2,"LAL",1,52,1780,0.444,29.2,2017,12.5,2,1.3,1
"47","2018-19","Lonzo Ball",2,"LAL",2,47,1423,0.487,23.8,2017,11.7,1.6,0.6,-0.3
"48","2017-18","Jayson Tatum",3,"BOS",1,80,2443,0.586,8.3,2017,15.2,7.1,2,1.2
"49","2018-19","Jayson Tatum",3,"BOS",2,79,2455,0.547,10,2017,15.1,5,1.1,-0.2
"50","2017-18","Josh Jackson",4,"PHO",1,77,1959,0.48,10.1,2017,11.8,-0.7,-1.1,-4.2
"51","2018-19","Josh Jackson",4,"PHO",2,79,1988,0.487,14.1,2017,10.6,-1.7,-1.3,-4.6
"52","2017-18","De'Aaron Fox",5,"SAC",1,73,2026,0.478,24.6,2017,11.2,-0.6,-1.1,-4.2
"53","2018-19","De'Aaron Fox",5,"SAC",2,81,2546,0.544,33.2,2017,18.1,5.6,2.3,1.5
"54","2017-18","Lauri Markkanen",7,"CHI",1,68,2020,0.552,6.4,2017,15.6,3.3,0.9,-0.2
"55","2018-19","Lauri Markkanen",7,"CHI",2,52,1682,0.553,7.2,2017,17.1,2.7,0.7,-0.2
"56","2017-18","Frank Ntilikina",8,"NYK",1,78,1706,0.437,20,2017,7,-0.9,-1.3,-5
"57","2018-19","Frank Ntilikina",8,"NYK",2,43,904,0.417,19.5,2017,6,-0.8,-0.9,-6
"58","2017-18","Dennis Smith Jr.",9,"DAL",1,69,2049,0.473,29.5,2017,12.8,-0.7,-0.2,-2.4
"59","2018-19","Dennis Smith Jr.",9,"TOT",2,53,1508,0.502,27.3,2017,12.3,0,0,-1.9
"60","2018-19","Dennis Smith Jr.",9,"DAL",2,32,908,0.527,24.1,2017,11.5,0.2,0,-2.1
"61","2018-19","Dennis Smith Jr.",9,"NYK",2,21,600,0.473,32.2,2017,13.5,-0.2,0,-1.7
"62","2017-18","Malik Monk",11,"CHO",1,63,854,0.477,16.9,2017,10.2,0,-0.3,-3.4
"63","2018-19","Malik Monk",11,"CHO",2,73,1258,0.518,14.3,2017,11.8,0.3,-0.3,-3
"64","2017-18","Luke Kennard",12,"DET",1,73,1463,0.56,12.7,2017,12.1,2.6,0.5,-0.8
"65","2018-19","Luke Kennard",12,"DET",2,63,1437,0.56,12.3,2017,11.9,2.5,0.3,-1.1
"66","2017-18","Donovan Mitchell",13,"UTA",1,79,2638,0.541,19.4,2017,16.7,5.2,2.2,1.2
"67","2018-19","Donovan Mitchell",13,"UTA",2,77,2598,0.537,21.2,2017,17.2,5,2.2,1.3
"68","2017-18","Bam Adebayo",14,"MIA",1,69,1368,0.57,11,2017,15.7,4.2,0.6,-0.4
"69","2018-19","Bam Adebayo",14,"MIA",2,82,1913,0.623,14.2,2017,17.9,6.8,1.8,1.8
"70","2017-18","Justin Jackson",15,"SAC",1,68,1506,0.521,7.2,2017,9.2,1,-0.6,-3.5
"71","2017-18","Justin Jackson",15,"SAC",1,68,1506,0.521,7.2,2017,9.2,1,-0.6,-3.5
"72","2017-18","Justin Jackson",15,"SAC",1,68,1506,0.521,7.2,2017,9.2,1,-0.6,-3.5
"73","2017-18","Justin Jackson",15,"SAC",1,68,1506,0.521,7.2,2017,9.2,1,-0.6,-3.5
"74","2018-19","Justin Jackson",15,"TOT",2,81,1614,0.561,8.1,2017,11.3,2.9,0.2,-1.6
"75","2018-19","Justin Jackson",15,"TOT",2,81,1614,0.561,8.1,2017,11.3,2.9,0.2,-1.6
"76","2018-19","Justin Jackson",15,"TOT",2,81,1614,0.561,8.1,2017,11.3,2.9,0.2,-1.6
"77","2018-19","Justin Jackson",15,"TOT",2,81,1614,0.561,8.1,2017,11.3,2.9,0.2,-1.6
"78","2018-19","Justin Jackson",15,"SAC",2,52,1083,0.546,8,2017,10.1,1.6,0,-1.9
"79","2018-19","Justin Jackson",15,"SAC",2,52,1083,0.546,8,2017,10.1,1.6,0,-1.9
"80","2018-19","Justin Jackson",15,"SAC",2,52,1083,0.546,8,2017,10.1,1.6,0,-1.9
"81","2018-19","Justin Jackson",15,"SAC",2,52,1083,0.546,8,2017,10.1,1.6,0,-1.9
"82","2018-19","Justin Jackson",15,"DAL",2,29,531,0.584,8.4,2017,13.9,1.3,0.1,-1
"83","2018-19","Justin Jackson",15,"DAL",2,29,531,0.584,8.4,2017,13.9,1.3,0.1,-1
"84","2018-19","Justin Jackson",15,"DAL",2,29,531,0.584,8.4,2017,13.9,1.3,0.1,-1
"85","2018-19","Justin Jackson",15,"DAL",2,29,531,0.584,8.4,2017,13.9,1.3,0.1,-1
"86","2017-18","D.J. Wilson",17,"MIL",1,22,71,0.622,6.1,2017,10.3,0.1,0,-2
"87","2018-19","D.J. Wilson",17,"MIL",2,48,882,0.515,7.6,2017,10.3,1.7,0,-2.2
"88","2017-18","John Collins",19,"ATL",1,74,1785,0.62,8.9,2017,18.3,5.4,0.8,-0.2
"89","2018-19","John Collins",19,"ATL",2,61,1829,0.627,11,2017,21.8,6,1.3,0.9
"90","2017-18","Jarrett Allen",22,"BRK",1,72,1441,0.636,5.4,2017,17.5,4.2,0.5,-0.8
"91","2018-19","Jarrett Allen",22,"BRK",2,80,2096,0.632,7.9,2017,18.5,7.6,1.9,1.6
"92","2017-18","OG Anunoby",23,"TOR",1,74,1481,0.587,5,2017,10,3,0.5,-0.6
"93","2018-19","OG Anunoby",23,"TOR",2,67,1352,0.544,4.7,2017,9.8,2,-0.1,-2.4
"94","2017-18","Kyle Kuzma",27,"LAL",1,77,2401,0.549,9.1,2017,14.2,3.8,0.8,-0.7
"95","2018-19","Kyle Kuzma",27,"LAL",2,70,2314,0.546,11.5,2017,14,3.1,0.4,-1.4
"96","2017-18","Tony Bradley",28,"UTA",1,9,29,0.337,5,2017,9.5,0,0,-7.5
"97","2018-19","Tony Bradley",28,"UTA",2,3,36,0.504,4.5,2017,19.6,0.1,0,-6
"98","2017-18","Derrick White",29,"SAS",1,17,139,0.646,9.3,2017,15.9,0.5,0.2,2.3
"99","2018-19","Derrick White",29,"SAS",2,67,1728,0.555,21,2017,14.8,3.6,1.3,0.9
"100","2017-18","Josh Hart",30,"LAL",1,63,1461,0.596,7.6,2017,12.2,3.4,0.7,-0.1
"101","2018-19","Josh Hart",30,"LAL",2,67,1715,0.526,7,2017,9.3,2.1,0.3,-1.3
"102","2018-19","Frank Jackson",31,"NOP",2,61,1169,0.517,8,2017,9.4,0.4,-0.8,-4.6
"103","2017-18","Wes Iwundu",33,"ORL",1,62,1020,0.48,7.8,2017,7.8,0.7,-0.6,-4.3
"104","2018-19","Wes Iwundu",33,"ORL",2,68,1233,0.531,7.9,2017,8.7,1.9,-0.4,-3.2
"105","2017-18","Semi Ojeleye",37,"BOS",1,73,1150,0.473,2.4,2017,4.6,1.2,-0.8,-4.7
"106","2018-19","Semi Ojeleye",37,"BOS",2,56,594,0.531,5.1,2017,8.5,0.7,-0.3,-4
"107","2017-18","Jordan Bell",38,"GSW",1,57,809,0.641,16.9,2017,18,2.9,1,2.8
"108","2018-19","Jordan Bell",38,"GSW",2,68,788,0.531,12.3,2017,12.9,1.6,0.2,-0.9
"109","2017-18","Thomas Bryant",42,"LAL",1,15,72,0.441,11.5,2017,9.9,0.1,0,-3.3
"110","2018-19","Thomas Bryant",42,"WAS",2,72,1496,0.674,9.3,2017,21,5.6,1.5,2
"111","2018-19","Isaiah Hartenstein",43,"HOU",2,28,221,0.562,9.4,2017,10,0.5,-0.1,-3.9
"112","2017-18","Damyean Dotson",44,"NYK",1,44,474,0.532,9.5,2017,11.6,0.6,0,-2.3
"113","2018-19","Damyean Dotson",44,"NYK",2,73,2004,0.526,10.4,2017,10.8,1.5,-0.3,-2.6
"114","2017-18","Dillon Brooks",45,"MEM",1,82,2350,0.531,9.3,2017,9.8,1.2,-1.2,-4
"115","2018-19","Dillon Brooks",45,"MEM",2,18,330,0.499,7.6,2017,7.6,0,-0.4,-6.3
"116","2017-18","Sterling Brown",46,"MIL",1,54,776,0.503,4.5,2017,9.1,0.7,-0.2,-3.1
"117","2018-19","Sterling Brown",46,"MIL",2,58,1034,0.563,10.7,2017,10.9,2.1,0.1,-1.5
"118","2017-18","Monte Morris",51,"DEN",1,3,25,0.727,41.2,2017,27.1,0.2,0.1,9.4
"119","2018-19","Monte Morris",51,"DEN",2,82,1970,0.577,21.7,2017,16.2,6.2,1.7,1.5
"120","2016-17","Brandon Ingram",2,"LAL",1,79,2279,0.474,10.5,2016,8.5,-0.3,-1.4,-4.4
"121","2017-18","Brandon Ingram",2,"LAL",2,59,1975,0.536,17.7,2016,13.8,2.8,0.4,-1.2
"122","2018-19","Brandon Ingram",2,"LAL",3,52,1760,0.555,12.9,2016,13.4,2,0,-2
"123","2016-17","Jaylen Brown",3,"BOS",1,78,1341,0.539,7.2,2016,10.3,1.5,-0.6,-3.7
"124","2017-18","Jaylen Brown",3,"BOS",2,70,2152,0.562,8.5,2016,13.6,4.5,0.8,-0.5
"125","2018-19","Jaylen Brown",3,"BOS",3,74,1913,0.547,7.7,2016,13.5,3,0,-2.1
"126","2016-17","Kris Dunn",5,"MIN",1,78,1333,0.432,19.4,2016,8.1,0.1,-0.3,-2.8
"127","2017-18","Kris Dunn",5,"CHI",2,52,1525,0.488,33.3,2016,14.5,0.9,0.3,-1.3
"128","2018-19","Kris Dunn",5,"CHI",3,46,1389,0.484,30,2016,12.4,0.6,-0.2,-2.7
"129","2016-17","Buddy Hield",6,"TOT",1,82,1888,0.541,10.3,2016,11.8,1.3,0,-2
"130","2016-17","Buddy Hield",6,"NOP",1,57,1161,0.503,10.3,2016,9.9,0.5,-0.2,-2.8
"131","2016-17","Buddy Hield",6,"SAC",1,25,727,0.6,10.3,2016,14.9,0.8,0.2,-0.8
"132","2017-18","Buddy Hield",6,"SAC",2,80,2024,0.557,12.8,2016,16.1,2.8,1.5,1
"133","2018-19","Buddy Hield",6,"SAC",3,82,2615,0.587,11.9,2016,17.5,5.9,2.7,2.1
"134","2016-17","Marquese Chriss",8,"PHO",1,82,1743,0.529,5.2,2016,12.3,1.8,-0.1,-2.2
"135","2017-18","Marquese Chriss",8,"PHO",2,72,1527,0.509,8.1,2016,11.1,0.7,-0.3,-2.8
"136","2018-19","Marquese Chriss",8,"TOT",3,43,499,0.455,6.5,2016,9.2,-0.2,-0.7,-7.5
"137","2018-19","Marquese Chriss",8,"HOU",3,16,104,0.391,8.2,2016,3.4,-0.2,-0.2,-11.2
"138","2018-19","Marquese Chriss",8,"CLE",3,27,395,0.47,6.1,2016,10.7,0,-0.5,-6.6
"139","2016-17","Jakob Poeltl",9,"TOR",1,54,626,0.589,2.7,2016,12.2,1.6,-0.2,-3.1
"140","2017-18","Jakob Poeltl",9,"TOR",2,82,1524,0.662,5.4,2016,17.5,5.6,0.9,0.4
"141","2018-19","Jakob Poeltl",9,"SAS",3,77,1273,0.64,10,2016,19.4,5.1,1.3,2
"142","2016-17","Domantas Sabonis",11,"OKC",1,81,1632,0.469,7.2,2016,6.9,0.8,-1,-4.5
"143","2017-18","Domantas Sabonis",11,"IND",2,74,1810,0.567,12.7,2016,17.5,4.7,0.4,-1.1
"144","2018-19","Domantas Sabonis",11,"IND",3,74,1838,0.63,18.2,2016,21.9,7.6,2.4,3.1
"145","2016-17","Taurean Prince",12,"ATL",1,59,981,0.513,8.4,2016,9.8,1.1,0,-1.8
"146","2017-18","Taurean Prince",12,"ATL",2,82,2464,0.549,13.9,2016,12.8,2,0.6,-1.1
"147","2018-19","Taurean Prince",12,"ATL",3,55,1552,0.575,11.1,2016,11.9,1.5,0,-2
"148","2016-17","Denzel Valentine",14,"CHI",1,57,976,0.492,9.3,2016,7.3,0.6,-0.3,-3.3
"149","2017-18","Denzel Valentine",14,"CHI",2,77,2095,0.527,17.8,2016,12.1,2.5,0.5,-1
"150","2016-17","Juancho Hernangómez",15,"DEN",1,62,842,0.592,4.7,2016,13.4,1.8,0.4,-0.1
"151","2017-18","Juancho Hernangómez",15,"DEN",2,25,277,0.511,5.9,2016,9.7,0.4,-0.1,-3.3
"152","2018-19","Juancho Hernangómez",15,"DEN",3,70,1358,0.58,5.3,2016,11,3,0.3,-1.1
"153","2016-17","Malik Beasley",19,"DEN",1,22,165,0.536,10.2,2016,13.7,0.2,0.1,-0.6
"154","2017-18","Malik Beasley",19,"DEN",2,62,583,0.509,7.4,2016,9,0.3,-0.3,-3.8
"155","2018-19","Malik Beasley",19,"DEN",3,81,1879,0.599,7.5,2016,14.2,4.5,1,0.1
"156","2016-17","Caris LeVert",20,"BRK",1,57,1237,0.556,13.7,2016,12.3,1.8,0.3,-1.1
"157","2017-18","Caris LeVert",20,"BRK",2,71,1864,0.525,26,2016,14.2,2.3,0.6,-0.8
"158","2018-19","Caris LeVert",20,"BRK",3,40,1063,0.509,23.2,2016,14.9,1.7,0.6,0.2
"159","2016-17","DeAndre' Bembry",21,"ATL",1,38,371,0.481,11.5,2016,8.8,0.3,-0.1,-3.5
"160","2017-18","DeAndre' Bembry",21,"ATL",2,26,455,0.477,15.9,2016,7.6,-0.4,-0.3,-4.7
"161","2018-19","DeAndre' Bembry",21,"ATL",3,82,1931,0.508,14.7,2016,10.8,0.9,-0.2,-2.4
"162","2016-17","Timothé Luwawu-Cabarrot",24,"PHI",1,69,1190,0.536,9.6,2016,8.5,0.8,-0.8,-4.6
"163","2017-18","Timothé Luwawu-Cabarrot",24,"PHI",2,52,807,0.511,9.3,2016,7,0.8,-0.4,-4.1
"164","2018-19","Timothé Luwawu-Cabarrot",24,"TOT",3,50,669,0.489,5.5,2016,8,0.2,-0.5,-5.2
"165","2018-19","Timothé Luwawu-Cabarrot",24,"OKC",3,21,123,0.383,4.2,2016,3.4,-0.1,-0.2,-7.1
"166","2018-19","Timothé Luwawu-Cabarrot",24,"CHI",3,29,546,0.515,5.8,2016,9,0.3,-0.4,-4.7
"167","2017-18","Furkan Korkmaz",26,"PHI",2,14,80,0.386,6.7,2016,3.4,0,-0.1,-7.6
"168","2018-19","Furkan Korkmaz",26,"PHI",3,48,679,0.528,10.7,2016,11.5,1.1,0,-1.8
"169","2016-17","Pascal Siakam",27,"TOR",1,55,859,0.523,2.9,2016,11.5,1.6,-0.1,-2.4
"170","2017-18","Pascal Siakam",27,"TOR",2,81,1679,0.549,13.5,2016,14.5,4.7,1.4,1.3
"171","2018-19","Pascal Siakam",27,"TOR",3,80,2548,0.628,14.6,2016,18.7,9.3,2.8,2.4
"172","2016-17","Dejounte Murray",29,"SAS",1,38,322,0.503,22.6,2016,9.6,0,-0.2,-4.8
"173","2017-18","Dejounte Murray",29,"SAS",2,81,1743,0.485,20.2,2016,15.1,3.2,1.1,0.5
"174","2016-17","Damian Jones",30,"GSW",1,10,85,0.466,0,2016,5.3,0,-0.2,-9.7
"175","2017-18","Damian Jones",30,"GSW",2,15,89,0.517,2.9,2016,6.8,0.1,-0.1,-7.1
"176","2018-19","Damian Jones",30,"GSW",3,24,410,0.72,8.7,2016,15.3,1.5,0.3,1.1
"177","2016-17","Ivica Zubac",32,"LAL",1,38,609,0.547,8.1,2016,17,1.1,0,-1.7
"178","2017-18","Ivica Zubac",32,"LAL",2,43,410,0.557,8.8,2016,15.3,1,0,-2
"179","2018-19","Ivica Zubac",32,"TOT",3,59,1040,0.604,9.1,2016,18.9,3.2,0.4,-0.5
"180","2018-19","Ivica Zubac",32,"LAL",3,33,516,0.633,7.3,2016,19.5,1.8,0.2,-0.2
"181","2018-19","Ivica Zubac",32,"LAC",3,26,524,0.574,10.9,2016,18.3,1.4,0.2,-0.7
"182","2016-17","Malcolm Brogdon",36,"MIL",1,75,1982,0.555,24.3,2016,14.9,4.1,0.8,-0.4
"183","2017-18","Malcolm Brogdon",36,"MIL",2,48,1436,0.578,16.3,2016,14.3,2.7,0.3,-1.2
"184","2018-19","Malcolm Brogdon",36,"MIL",3,64,1832,0.614,16.2,2016,17.8,6.5,1.9,2.2
"185","2016-17","Jake Layman",47,"POR",1,35,249,0.404,6.2,2016,4.9,-0.3,-0.3,-6.4
"186","2017-18","Jake Layman",47,"POR",2,35,160,0.352,9.4,2016,4.9,-0.1,-0.1,-4.3
"187","2018-19","Jake Layman",47,"POR",3,71,1327,0.594,5.6,2016,13.5,3.1,0.5,-0.5
"188","2016-17","Georges Niang",50,"IND",1,23,93,0.285,7.5,2016,0.1,-0.3,-0.2,-11.7
"189","2017-18","Georges Niang",50,"UTA",2,9,32,0.379,14,2016,9.2,0,0,-4
"190","2018-19","Georges Niang",50,"UTA",3,59,516,0.613,10.1,2016,13,1.3,0.3,0
"191","2017-18","Abdel Nader",58,"BOS",2,48,522,0.439,7.1,2016,5.1,-0.1,-0.4,-5.3
"192","2018-19","Abdel Nader",58,"OKC",3,61,694,0.522,3.8,2016,8.8,0.9,-0.2,-3.2
"193","2015-16","Karl-Anthony Towns",1,"MIN",1,82,2627,0.59,11.3,2015,22.5,8.3,2.7,2.2
"194","2016-17","Karl-Anthony Towns",1,"MIN",2,82,3030,0.618,13.2,2015,25.9,12.7,5.2,4.7
"195","2017-18","Karl-Anthony Towns",1,"MIN",3,82,2918,0.646,10.8,2015,24.9,14,5.2,5.1
"196","2018-19","Karl-Anthony Towns",1,"MIN",4,77,2545,0.622,17.2,2015,26.3,10.4,5.1,6
"197","2015-16","D'Angelo Russell",2,"LAL",1,80,2259,0.507,21.2,2015,13.2,0,-0.1,-2.3
"198","2016-17","D'Angelo Russell",2,"LAL",2,63,1811,0.518,26.8,2015,15.3,1.3,0.6,-0.8
"199","2017-18","D'Angelo Russell",2,"BRK",3,48,1234,0.509,35.7,2015,15.2,0.4,0.3,-1.2
"200","2018-19","D'Angelo Russell",2,"BRK",4,81,2448,0.533,41.3,2015,19.4,5,3.4,3.4
"201","2015-16","Kristaps Porziņģis",4,"NYK",1,72,2047,0.518,7.9,2015,17.7,4.4,1.5,0.9
"202","2016-17","Kristaps Porziņģis",4,"NYK",2,66,2164,0.546,7.3,2015,17.4,4.5,1.3,0.3
"203","2017-18","Kristaps Porziņģis",4,"NYK",3,48,1553,0.539,6.2,2015,20.4,3.2,1.5,1.8
"204","2015-16","Willie Cauley-Stein",6,"SAC",1,66,1412,0.588,3.8,2015,15.3,3.8,0.4,-0.8
"205","2016-17","Willie Cauley-Stein",6,"SAC",2,75,1421,0.558,9.4,2015,16.3,2.9,0.3,-1
"206","2017-18","Willie Cauley-Stein",6,"SAC",3,73,2044,0.529,13.7,2015,17.6,3.9,1,-0.1
"207","2018-19","Willie Cauley-Stein",6,"SAC",4,81,2213,0.566,12.3,2015,18,6.7,1.8,1.2
"208","2015-16","Stanley Johnson",8,"DET",1,73,1687,0.46,10.8,2015,8.7,0.6,-0.5,-3.3
"209","2016-17","Stanley Johnson",8,"DET",2,77,1371,0.436,10.5,2015,7.2,0.4,-0.3,-3
"210","2017-18","Stanley Johnson",8,"DET",3,69,1894,0.48,8.5,2015,9,1.8,-0.4,-2.9
"211","2018-19","Stanley Johnson",8,"TOT",4,66,1208,0.485,10.6,2015,9.6,0.5,0,-2.2
"212","2018-19","Stanley Johnson",8,"DET",4,48,961,0.482,9.4,2015,9.8,0.7,0.1,-1.6
"213","2018-19","Stanley Johnson",8,"NOP",4,18,247,0.496,15.1,2015,8.9,-0.1,-0.2,-4.5
