"","Season","Age","Tm","Lg","Pos","G","MP","PER","TSPerc","3PAr","FTr","ORBPerc","DRBPerc","TRBPerc","ASTPerc","STLPerc","BLKPerc","TOVPerc","USGPerc","OWS","DWS","WS","WSPer48","OBPM","DBPM","BPM","VORP","PlayerName","DraftYear","DraftPos"
"1","2021-22",20,"DET","NBA","SG",64,2088,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,-2.4,1.9,-0.5,-0.011,-1.1,-0.5,-1.6,0.2,"Cade Cunningham","2021",1
"2","Career",NA,"","NBA","",64,2088,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,-2.4,1.9,-0.5,-0.011,-1.1,-0.5,-1.6,0.2,"Cade Cunningham","2021",1
"3","2021-22",19,"HOU","NBA","SG",67,2138,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,"Jalen Green","2021",2
"4","Career",NA,"","NBA","",67,2138,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,"Jalen Green","2021",2
"5","2021-22",20,"CLE","NBA","PF",69,2331,16.1,0.549,0.111,0.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,0.107,-0.9,1.5,0.6,1.5,"Evan Mobley","2021",3
"6","Career",NA,"","NBA","",69,2331,16.1,0.549,0.111,0.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,0.107,-0.9,1.5,0.6,1.5,"Evan Mobley","2021",3
"7","2021-22",20,"TOR","NBA","PF",74,2617,16.3,0.552,0.207,0.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19,3.7,2.9,6.6,0.122,0.5,0.4,0.9,1.9,"Scottie Barnes","2021",4
"8","Career",NA,"","NBA","",74,2617,16.3,0.552,0.207,0.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19,3.7,2.9,6.6,0.122,0.5,0.4,0.9,1.9,"Scottie Barnes","2021",4
"9","2021-22",20,"ORL","NBA","PG",48,1307,8.6,0.455,0.358,0.297,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,-3,1.3,-1.6,-0.06,-5.3,-0.2,-5.6,-1.2,"Jalen Suggs","2021",5
"10","Career",NA,"","NBA","",48,1307,8.6,0.455,0.358,0.297,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,-3,1.3,-1.6,-0.06,-5.3,-0.2,-5.6,-1.2,"Jalen Suggs","2021",5
"11","2021-22",19,"OKC","NBA","SF",54,1700,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5,"Josh Giddey","2021",6
"12","Career",NA,"","NBA","",54,1700,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5,"Josh Giddey","2021",6
"13","2021-22",19,"GSW","NBA","SF",70,1185,15.2,0.6,0.324,0.413,5.1,16.1,10.8,8.4,1.3,1.8,12,22.7,1.3,1.8,3,0.123,-1.3,-0.2,-1.5,0.1,"Jonathan Kuminga","2021",7
"14","Career",NA,"","NBA","",70,1185,15.2,0.6,0.324,0.413,5.1,16.1,10.8,8.4,1.3,1.8,12,22.7,1.3,1.8,3,0.123,-1.3,-0.2,-1.5,0.1,"Jonathan Kuminga","2021",7
"15","2021-22",20,"ORL","NBA","SF",79,2429,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10,21.2,2.1,1.9,4,0.079,-0.4,-0.3,-0.7,0.8,"Franz Wagner","2021",8
"16","Career",NA,"","NBA","",79,2429,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10,21.2,2.1,1.9,4,0.079,-0.4,-0.3,-0.7,0.8,"Franz Wagner","2021",8
"17","2021-22",23,"SAC","NBA","PG",75,2076,10.8,0.489,0.38,0.101,1.7,7,4.4,22.5,1.3,1,11.5,20.6,-0.5,0.6,0.1,0.003,-2.1,-1.7,-3.8,-0.9,"Davion Mitchell","2021",9
"18","Career",NA,"","NBA","",75,2076,10.8,0.489,0.38,0.101,1.7,7,4.4,22.5,1.3,1,11.5,20.6,-0.5,0.6,0.1,0.003,-2.1,-1.7,-3.8,-0.9,"Davion Mitchell","2021",9
"19","2021-22",20,"MEM","NBA","SF",62,1346,9.7,0.559,0.571,0.13,2,8.2,5,6.3,1.2,0.8,8.4,14.9,1.1,1.1,2.2,0.08,-2.4,-0.6,-3,-0.3,"Ziaire Williams","2021",10
"20","Career",NA,"","NBA","",62,1346,9.7,0.559,0.571,0.13,2,8.2,5,6.3,1.2,0.8,8.4,14.9,1.1,1.1,2.2,0.08,-2.4,-0.6,-3,-0.3,"Ziaire Williams","2021",10
"21","2021-22",21,"CHO","NBA","SG",31,304,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,-0.1,0.1,0,0.001,-3.4,-3.7,-7.1,-0.4,"James Bouknight","2021",11
"22","Career",NA,"","NBA","",31,304,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,-0.1,0.1,0,0.001,-3.4,-3.7,-7.1,-0.4,"James Bouknight","2021",11
"23","2021-22",19,"SAS","NBA","SF",50,965,7.1,0.487,0.507,0.219,3.5,8.9,6.1,10.6,1,2,16.1,15.4,-0.6,0.6,0,0.001,-3.8,-1.1,-5,-0.7,"Joshua Primo","2021",12
"24","Career",NA,"","NBA","",50,965,7.1,0.487,0.507,0.219,3.5,8.9,6.1,10.6,1,2,16.1,15.4,-0.6,0.6,0,0.001,-3.8,-1.1,-5,-0.7,"Joshua Primo","2021",12
"25","2021-22",24,"IND","NBA","SG",55,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,0.2,0.7,0.9,0.029,-1.2,-1.1,-2.3,-0.1,"Chris Duarte","2021",13
"26","Career",NA,"","NBA","",55,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,0.2,0.7,0.9,0.029,-1.2,-1.1,-2.3,-0.1,"Chris Duarte","2021",13
"27","2021-22",19,"GSW","NBA","SG",52,607,10.5,0.573,0.601,0.197,3.2,11,7.2,5.3,0.6,1.6,6.1,15.2,0.6,0.7,1.3,0.101,-1.4,-1.1,-2.5,-0.1,"Moses Moody","2021",14
"28","Career",NA,"","NBA","",52,607,10.5,0.573,0.601,0.197,3.2,11,7.2,5.3,0.6,1.6,6.1,15.2,0.6,0.7,1.3,0.101,-1.4,-1.1,-2.5,-0.1,"Moses Moody","2021",14
"29","2021-22",22,"WAS","NBA","SF",77,1801,10.9,0.586,0.623,0.121,3.3,9.4,6.4,6.7,1,1,8.5,14.6,1.6,0.7,2.3,0.061,-0.8,-1.5,-2.3,-0.1,"Corey Kispert","2021",15
"30","Career",NA,"","NBA","",77,1801,10.9,0.586,0.623,0.121,3.3,9.4,6.4,6.7,1,1,8.5,14.6,1.6,0.7,2.3,0.061,-0.8,-1.5,-2.3,-0.1,"Corey Kispert","2021",15
"31","2021-22",19,"HOU","NBA","C",72,1489,16,0.552,0.223,0.442,10.1,18.9,14.5,19.1,1.9,4.1,18.8,22,0.8,1.3,2.1,0.068,-1.6,0.6,-1,0.4,"Alperen Şengün","2021",16
"32","Career",NA,"","NBA","",72,1489,16,0.552,0.223,0.442,10.1,18.9,14.5,19.1,1.9,4.1,18.8,22,0.8,1.3,2.1,0.068,-1.6,0.6,-1,0.4,"Alperen Şengün","2021",16
"33","2021-22",21,"NOP","NBA","SF",62,864,12.5,0.558,0.671,0.184,5.9,13.1,9.4,6.2,1.3,0.8,5.1,15.7,1.3,0.6,1.9,0.104,0.2,-1.4,-1.2,0.2,"Trey Murphy III","2021",17
"34","Career",NA,"","NBA","",62,864,12.5,0.558,0.671,0.184,5.9,13.1,9.4,6.2,1.3,0.8,5.1,15.7,1.3,0.6,1.9,0.104,0.2,-1.4,-1.2,0.2,"Trey Murphy III","2021",17
"35","2021-22",20,"OKC","NBA","PG",60,1367,10.2,0.501,0.463,0.139,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22,-1,1,0.1,0.002,-3.3,-1.1,-4.4,-0.8,"Tre Mann","2021",18
"36","Career",NA,"","NBA","",60,1367,10.2,0.501,0.463,0.139,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22,-1,1,0.1,0.002,-3.3,-1.1,-4.4,-0.8,"Tre Mann","2021",18
"37","2021-22",21,"CHO","NBA","C",21,63,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,0,0,0,0.009,-5.2,-1.4,-6.6,-0.1,"Kai Jones","2021",19
"38","Career",NA,"","NBA","",21,63,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,0,0,0,0.009,-5.2,-1.4,-6.6,-0.1,"Kai Jones","2021",19
"39","2021-22",20,"ATL","NBA","PF",22,120,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,-0.1,0.1,0,0.013,-3.9,-1.1,-4.9,-0.1,"Jalen Johnson","2021",20
"40","Career",NA,"","NBA","",22,120,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,-0.1,0.1,0,0.013,-3.9,-1.1,-4.9,-0.1,"Jalen Johnson","2021",20
"41","2021-22",19,"TOT","NBA","SG",37,697,8.7,0.453,0.368,0.188,3.7,9.1,6.3,16.3,2,1.7,13.5,21.2,-0.8,0.4,-0.5,-0.031,-4,-2,-5.9,-0.7,"Keon Johnson","2021",21
"42","2021-22",19,"LAC","NBA","SG",15,135,9.4,0.44,0.216,0.412,4.8,11.4,8.2,13.7,2.5,1.3,10.4,21.9,-0.1,0.2,0.1,0.018,-6,0.3,-5.7,-0.1,"Keon Johnson","2021",21
"43","2021-22",19,"POR","NBA","SG",22,562,8.5,0.457,0.403,0.136,3.4,8.5,5.9,17,1.8,1.8,14.3,21.1,-0.7,0.2,-0.5,-0.043,-3.5,-2.5,-6,-0.6,"Keon Johnson","2021",21
"44","Career",NA,"","NBA","",37,697,8.7,0.453,0.368,0.188,3.7,9.1,6.3,16.3,2,1.7,13.5,21.2,-0.8,0.4,-0.5,-0.031,-4,-2,-5.9,-0.7,"Keon Johnson","2021",21
"45","1 season",NA,"POR","NBA","",22,562,8.5,0.457,0.403,0.136,3.4,8.5,5.9,17,1.8,1.8,14.3,21.1,-0.7,0.2,-0.5,-0.043,-3.5,-2.5,-6,-0.6,"Keon Johnson","2021",21
